"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2016"	"2016"	1034	4863300	21.3
	"Alabama"	"01"	"2017"	"2017"	1116	4874747	22.9
	"Alabama"	"01"	"2018"	"2018"	1060	4887871	21.7
	"Alabama"	"01"	"2019"	"2019"	1071	4903185	21.8
	"Alaska"	"02"	"2016"	"2016"	171	741894	23.0
	"Alaska"	"02"	"2017"	"2017"	175	739795	23.7
	"Alaska"	"02"	"2018"	"2018"	151	737438	20.5
	"Alaska"	"02"	"2019"	"2019"	175	731545	23.9
	"Arizona"	"04"	"2016"	"2016"	1081	6931071	15.6
	"Arizona"	"04"	"2017"	"2017"	1124	7016270	16.0
	"Arizona"	"04"	"2018"	"2018"	1122	7171646	15.6
	"Arizona"	"04"	"2019"	"2019"	1123	7278717	15.4
	"Arkansas"	"05"	"2016"	"2016"	535	2988248	17.9
	"Arkansas"	"05"	"2017"	"2017"	607	3004279	20.2
	"Arkansas"	"05"	"2018"	"2018"	559	3013825	18.5
	"Arkansas"	"05"	"2019"	"2019"	571	3017804	18.9
	"California"	"06"	"2016"	"2016"	3110	39250017	7.9
	"California"	"06"	"2017"	"2017"	3098	39536653	7.8
	"California"	"06"	"2018"	"2018"	2959	39557045	7.5
	"California"	"06"	"2019"	"2019"	2869	39512223	7.3
	"Colorado"	"08"	"2016"	"2016"	793	5540545	14.3
	"Colorado"	"08"	"2017"	"2017"	760	5607154	13.6
	"Colorado"	"08"	"2018"	"2018"	864	5695564	15.2
	"Colorado"	"08"	"2019"	"2019"	825	5758736	14.3
	"Connecticut"	"09"	"2016"	"2016"	169	3576452	4.7
	"Connecticut"	"09"	"2017"	"2017"	184	3588184	5.1
	"Connecticut"	"09"	"2018"	"2018"	184	3572665	5.2
	"Connecticut"	"09"	"2019"	"2019"	186	3565287	5.2
	"Delaware"	"10"	"2016"	"2016"	111	952065	11.7
	"Delaware"	"10"	"2017"	"2017"	108	961939	11.2
	"Delaware"	"10"	"2018"	"2018"	107	967171	11.1
	"Delaware"	"10"	"2019"	"2019"	91	973764	9.3
	"District of Columbia"	"11"	"2016"	"2016"	103	681170	15.1
	"District of Columbia"	"11"	"2017"	"2017"	99	693972	14.3
	"District of Columbia"	"11"	"2018"	"2018"	125	702455	17.8
	"District of Columbia"	"11"	"2019"	"2019"	140	705749	19.8
	"Florida"	"12"	"2016"	"2016"	2690	20612439	13.1
	"Florida"	"12"	"2017"	"2017"	2706	20984400	12.9
	"Florida"	"12"	"2018"	"2018"	2878	21299325	13.5
	"Florida"	"12"	"2019"	"2019"	2847	21477737	13.3
	"Georgia"	"13"	"2016"	"2016"	1557	10310371	15.1
	"Georgia"	"13"	"2017"	"2017"	1603	10429379	15.4
	"Georgia"	"13"	"2018"	"2018"	1655	10519475	15.7
	"Georgia"	"13"	"2019"	"2019"	1682	10617423	15.8
	"Hawaii"	"15"	"2016"	"2016"	62	1428557	4.3
	"Hawaii"	"15"	"2017"	"2017"	36	1427538	2.5
	"Hawaii"	"15"	"2018"	"2018"	53	1420491	3.7
	"Hawaii"	"15"	"2019"	"2019"	56	1415872	4.0
	"Idaho"	"16"	"2016"	"2016"	236	1683140	14.0
	"Idaho"	"16"	"2017"	"2017"	277	1716943	16.1
	"Idaho"	"16"	"2018"	"2018"	287	1754208	16.4
	"Idaho"	"16"	"2019"	"2019"	248	1787065	13.9
	"Illinois"	"17"	"2016"	"2016"	1474	12801539	11.5
	"Illinois"	"17"	"2017"	"2017"	1533	12802023	12.0
	"Illinois"	"17"	"2018"	"2018"	1373	12741080	10.8
	"Illinois"	"17"	"2019"	"2019"	1362	12671821	10.7
	"Indiana"	"18"	"2016"	"2016"	986	6633053	14.9
	"Indiana"	"18"	"2017"	"2017"	1003	6666818	15.0
	"Indiana"	"18"	"2018"	"2018"	968	6691878	14.5
	"Indiana"	"18"	"2019"	"2019"	952	6732219	14.1
	"Iowa"	"19"	"2016"	"2016"	287	3134693	9.2
