"Notes"	"State"	"State Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate	Crude Rate Standard Error	Age Adjusted Rate
	"Alabama"	"01"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	62	28496755	0.22	0.03	0.23
	"Alabama"	"01"	"Septicaemia due to other Gram-negative organisms"	"A41.5"	10	28496755	0.04 (Unreliable)	0.01	0.04 (Unreliable)
	"Alabama"	"01"	"Septicaemia, unspecified"	"A41.9"	210	28496755	0.74	0.05	0.74
	"Alabama"	"01"	"HIV disease resulting in other specified conditions"	"B23.8"	14	28496755	0.05 (Unreliable)	0.01	0.05 (Unreliable)
	"Alabama"	"01"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	19	28496755	0.07 (Unreliable)	0.02	0.06 (Unreliable)
	"Alabama"	"01"	"Other viral infections of unspecified site"	"B34.8"	22	28496755	0.08	0.02	0.08
	"Alabama"	"01"	"Viral infection, unspecified"	"B34.9"	24	28496755	0.08	0.02	0.09
	"Alabama"	"01"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	15	28496755	0.05 (Unreliable)	0.01	0.05 (Unreliable)
	"Alabama"	"01"	"Bone and articular cartilage, unspecified - Malignant neoplasms"	"C41.9"	63	28496755	0.22	0.03	0.21
	"Alabama"	"01"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	72	28496755	0.25	0.03	0.25
	"Alabama"	"01"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	10	28496755	0.04 (Unreliable)	0.01	0.03 (Unreliable)
	"Alabama"	"01"	"Testis, unspecified - Malignant neoplasms"	"C62.9"	13	28496755	0.05 (Unreliable)	0.01	0.04 (Unreliable)
	"Alabama"	"01"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	23	28496755	0.08	0.02	0.08
	"Alabama"	"01"	"Cerebellum - Malignant neoplasms"	"C71.6"	18	28496755	0.06 (Unreliable)	0.01	0.06 (Unreliable)
	"Alabama"	"01"	"Brain stem - Malignant neoplasms"	"C71.7"	26	28496755	0.09	0.02	0.10
	"Alabama"	"01"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	127	28496755	0.45	0.04	0.44
	"Alabama"	"01"	"Adrenal gland, unspecified - Malignant neoplasms"	"C74.9"	48	28496755	0.17	0.02	0.17
	"Alabama"	"01"	"Malignant neoplasm without specification of site"	"C80"	34	28496755	0.12	0.02	0.12
	"Alabama"	"01"	"Hodgkin disease, unspecified"	"C81.9"	17	28496755	0.06 (Unreliable)	0.01	0.06 (Unreliable)
	"Alabama"	"01"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	22	28496755	0.08	0.02	0.07
	"Alabama"	"01"	"Acute lymphoblastic leukaemia - Malignant neoplasms"	"C91.0"	73	28496755	0.26	0.03	0.25
	"Alabama"	"01"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	62	28496755	0.22	0.03	0.22
	"Alabama"	"01"	"Chronic myeloid leukaemia - Malignant neoplasms"	"C92.1"	10	28496755	0.04 (Unreliable)	0.01	0.03 (Unreliable)
	"Alabama"	"01"	"Acute leukaemia of unspecified cell type - Malignant neoplasms"	"C95.0"	11	28496755	0.04 (Unreliable)	0.01	0.04 (Unreliable)
	"Alabama"	"01"	"Leukaemia, unspecified - Malignant neoplasms"	"C95.9"	34	28496755	0.12	0.02	0.12
	"Alabama"	"01"	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	11	28496755	0.04 (Unreliable)	0.01	0.04 (Unreliable)
	"Alabama"	"01"	"Brain, unspecified - Uncertain neoplasms"	"D43.2"	52	28496755	0.18	0.03	0.18
	"Alabama"	"01"	"Sickle-cell anaemia with crisis"	"D57.0"	11	28496755	0.04 (Unreliable)	0.01	0.04 (Unreliable)
	"Alabama"	"01"	"Sickle-cell anaemia without crisis"	"D57.1"	36	28496755	0.13	0.02	0.12
	"Alabama"	"01"	"Aplastic anaemia, unspecified"	"D61.9"	11	28496755	0.04 (Unreliable)	0.01	0.04 (Unreliable)
	"Alabama"	"01"	"Disseminated intravascular coagulation [defibrination syndrome]"	"D65"	13	28496755	0.05 (Unreliable)	0.01	0.04 (Unreliable)
	"Alabama"	"01"	"Coagulation defect, unspecified"	"D68.9"	10	28496755	0.04 (Unreliable)	0.01	0.04 (Unreliable)
	"Alabama"	"01"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	13	28496755	0.05 (Unreliable)	0.01	0.04 (Unreliable)
	"Alabama"	"01"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	44	28496755	0.15	0.02	0.15
	"Alabama"	"01"	"Unspecified diabetes mellitus, without complications"	"E14.9"	29	28496755	0.10	0.02	0.10
	"Alabama"	"01"	"Other obesity"	"E66.8"	21	28496755	0.07	0.02	0.07
	"Alabama"	"01"	"Other sphingolipidosis"	"E75.2"	22	28496755	0.08	0.02	0.08
	"Alabama"	"01"	"Cystic fibrosis with pulmonary manifestations"	"E84.0"	25	28496755	0.09	0.02	0.08
	"Alabama"	"01"	"Cystic fibrosis, unspecified"	"E84.9"	34	28496755	0.12	0.02	0.12
	"Alabama"	"01"	"Acidosis"	"E87.2"	24	28496755	0.08	0.02	0.09
	"Alabama"	"01"	"Hyperkalaemia"	"E87.5"	11	28496755	0.04 (Unreliable)	0.01	0.04 (Unreliable)
	"Alabama"	"01"	"Metabolic disorder, unspecified"	"E88.9"	35	28496755	0.12	0.02	0.13
	"Alabama"	"01"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	17	28496755	0.06 (Unreliable)	0.01	0.06 (Unreliable)
	"Alabama"	"01"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	23	28496755	0.08	0.02	0.08
	"Alabama"	"01"	"Meningitis, unspecified"	"G03.9"	23	28496755	0.08	0.02	0.08
	"Alabama"	"01"	"Spinal muscular atrophy, unspecified"	"G12.9"	35	28496755	0.12	0.02	0.13
	"Alabama"	"01"	"Degenerative disease of nervous system, unspecified"	"G31.9"	11	28496755	0.04 (Unreliable)	0.01	0.04 (Unreliable)
	"Alabama"	"01"	"Epilepsy, unspecified"	"G40.9"	38	28496755	0.13	0.02	0.13
	"Alabama"	"01"	"Status epilepticus, unspecified"	"G41.9"	22	28496755	0.08	0.02	0.08
	"Alabama"	"01"	"Muscular dystrophy"	"G71.0"	61	28496755	0.21	0.03	0.20
	"Alabama"	"01"	"Congenital myopathies"	"G71.2"	10	28496755	0.04 (Unreliable)	0.01	0.03 (Unreliable)
	"Alabama"	"01"	"Infantile cerebral palsy, unspecified"	"G80.9"	271	28496755	0.95	0.06	0.94
	"Alabama"	"01"	"Hydrocephalus, unspecified"	"G91.9"	43	28496755	0.15	0.02	0.15
	"Alabama"	"01"	"Anoxic brain damage, not elsewhere classified"	"G93.1"	104	28496755	0.36	0.04	0.36
	"Alabama"	"01"	"Encephalopathy, unspecified"	"G93.4"	24	28496755	0.08	0.02	0.09
	"Alabama"	"01"	"Compression of brain"	"G93.5"	10	28496755	0.04 (Unreliable)	0.01	0.04 (Unreliable)
	"Alabama"	"01"	"Cerebral oedema"	"G93.6"	20	28496755	0.07	0.02	0.07
	"Alabama"	"01"	"Other specified disorders of brain"	"G93.8"	10	28496755	0.04 (Unreliable)	0.01	0.03 (Unreliable)
	"Alabama"	"01"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	16	28496755	0.06 (Unreliable)	0.01	0.05 (Unreliable)
	"Alabama"	"01"	"Acute myocardial infarction, unspecified"	"I21.9"	51	28496755	0.18	0.03	0.17
	"Alabama"	"01"	"Atherosclerotic heart disease"	"I25.1"	20	28496755	0.07	0.02	0.07
	"Alabama"	"01"	"Pulmonary embolism without mention of acute cor pulmonale"	"I26.9"	48	28496755	0.17	0.02	0.16
	"Alabama"	"01"	"Primary pulmonary hypertension"	"I27.0"	31	28496755	0.11	0.02	0.11
	"Alabama"	"01"	"Other secondary pulmonary hypertension"	"I27.2"	48	28496755	0.17	0.02	0.17
	"Alabama"	"01"	"Pulmonary heart disease, unspecified"	"I27.9"	13	28496755	0.05 (Unreliable)	0.01	0.05 (Unreliable)
	"Alabama"	"01"	"Infective myocarditis"	"I40.0"	12	28496755	0.04 (Unreliable)	0.01	0.04 (Unreliable)
	"Alabama"	"01"	"Dilated cardiomyopathy"	"I42.0"	33	28496755	0.12	0.02	0.11
	"Alabama"	"01"	"Other hypertrophic cardiomyopathy"	"I42.2"	21	28496755	0.07	0.02	0.07
	"Alabama"	"01"	"Endocardial fibroelastosis"	"I42.4"	11	28496755	0.04 (Unreliable)	0.01	0.04 (Unreliable)
	"Alabama"	"01"	"Cardiomyopathy, unspecified"	"I42.9"	59	28496755	0.21	0.03	0.20
	"Alabama"	"01"	"Cardiac arrest, unspecified"	"I46.9"	244	28496755	0.86	0.05	0.85
	"Alabama"	"01"	"Cardiac arrhythmia, unspecified"	"I49.9"	50	28496755	0.18	0.02	0.17
	"Alabama"	"01"	"Congestive heart failure"	"I50.0"	39	28496755	0.14	0.02	0.13
	"Alabama"	"01"	"Heart failure, unspecified"	"I50.9"	23	28496755	0.08	0.02	0.08
	"Alabama"	"01"	"Myocarditis, unspecified"	"I51.4"	43	28496755	0.15	0.02	0.15
	"Alabama"	"01"	"Cardiomegaly"	"I51.7"	24	28496755	0.08	0.02	0.08
	"Alabama"	"01"	"Heart disease, unspecified"	"I51.9"	25	28496755	0.09	0.02	0.09
	"Alabama"	"01"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	14	28496755	0.05 (Unreliable)	0.01	0.05 (Unreliable)
	"Alabama"	"01"	"Intracerebral haemorrhage, intraventricular"	"I61.5"	10	28496755	0.04 (Unreliable)	0.01	0.04 (Unreliable)
	"Alabama"	"01"	"Intracerebral haemorrhage, unspecified"	"I61.9"	21	28496755	0.07	0.02	0.07
	"Alabama"	"01"	"Intracranial haemorrhage (nontraumatic), unspecified"	"I62.9"	20	28496755	0.07	0.02	0.07
	"Alabama"	"01"	"Stroke, not specified as haemorrhage or infarction"	"I64"	15	28496755	0.05 (Unreliable)	0.01	0.05 (Unreliable)
	"Alabama"	"01"	"Other specified cerebrovascular diseases"	"I67.8"	42	28496755	0.15	0.02	0.15
